*BISMUTH:0000:0:1:1:1195:1149/1 241
67SUR0EEGG11 16/89 0.179775
85MES0CCKK11 16/89 0.179775
122MES0CCKK11 15/89 0.168539
178SUR0CCKK11 15/89 0.168539
64MES0CCKK11 15/89 0.168539
93SUR0CCKK11 15/89 0.168539
98DCM0CCKK11 15/89 0.168539
111MES0CCKK11 14/89 0.157303
122MES0BBCC11 14/89 0.157303
122SUR0CCEE11 14/89 0.157303
123MXL00BBCC11 14/89 0.157303
125SUR0CCEE11 14/89 0.157303
137MES0CCKK11 14/89 0.157303
142MES0CCKK11 14/89 0.157303
158MES0CCKK11 14/89 0.157303
209MES0CCKK11 14/89 0.157303
82DCM0CCKK11 14/89 0.157303
84SUR0CCKK11 14/89 0.157303
85DCM0CCKK11 14/89 0.157303
102MES0CCKK11 13/89 0.146067
122MES0CCEE11 13/89 0.146067
124MXL00BBCC11 13/89 0.146067
125MXL00CCEE11 13/89 0.146067
125SUR0CCKK11 13/89 0.146067
175ZZZ0CCKK11 13/89 0.146067
39MES00BBCC11 13/89 0.146067
65SUR0BBCC11 13/89 0.146067
67SUR0CCKK11 13/89 0.146067
98SUR0CCKK11 13/89 0.146067
109MES0CCKK11 12/89 0.134831
180SUR0CCKK11 12/89 0.134831
189MES0CCKK11 12/89 0.134831
194SUR0CCKK11 12/89 0.134831
201DCM0CCKK11 12/89 0.134831
201SUR0CCKK11 12/89 0.134831
206SUR0CCKK11 12/89 0.134831
208SUR0CCKK11 12/89 0.134831
38OMZ1CCII11 12/89 0.134831
39MES01CCII11 12/89 0.134831
76MES0EEGG11 12/89 0.134831
78MES0EEGG11 12/89 0.134831
193SUR0CCKK11 11/89 0.123596
94SUR0CCKK11 11/89 0.123596
137DCM0CCKK11 10/89 0.112360
163SUR0CCKK11 10/89 0.112360
168DCM0CCKK11 10/89 0.112360
173IZZ0CCKK11 10/89 0.112360
194DCM0CCKK11 10/89 0.112360
210SUR0CCKK11 10/89 0.112360
85SUR0CCKK11 10/89 0.112360
100MES0CCKK11 9/89 0.101124
122DCM0BBCC11 9/89 0.101124
175SUR0CCKK11 9/89 0.101124
180ZZZ0CCKK11 9/89 0.101124
191SUR0CCKK11 9/89 0.101124
205SUR0CCKK11 9/89 0.101124
209SUR0CCKK11 9/89 0.101124
158SUR0CCKK11 8/89 0.089888
168IZZ0CCKK11 8/89 0.089888
173DCM0CCKK11 8/89 0.089888
36SUR0BBCC11 8/89 0.089888
125MXL00BBCC11 7/89 0.078652
188DCM0CCKK11 7/89 0.078652
189SUR0CCKK11 7/89 0.078652
64DCM0BBCC11 7/89 0.078652
122SUR0BBCC11 6/89 0.067416
124SUR0BBCC11 6/89 0.067416
158DCM0CCKK11 6/89 0.067416
188SUR0CCKK11 6/89 0.067416
196SUR0CCKK11 6/89 0.067416
38MES00BBCC11 6/89 0.067416
82SUR0CCKK11 6/89 0.067416
168SUR0CCKK11 5/89 0.056180
189DCM0CCKK11 5/89 0.056180
41SUR0BBCC11 5/89 0.056180
48SUR0BBCC11 5/89 0.056180
125SUR0BBCC11 4/89 0.044944
173SUR0CCKK11 4/89 0.044944
39SUR0BBCC11 4/89 0.044944
123SUR0BBCC12 1/89 0.011236
*BISMUTH:0000:0:1:1:1537:1150/1 241
140SUR0CCKK11 83/83 1.000000
141SUR0CCKK11 83/83 1.000000
142DCM0CCKK11 83/83 1.000000
142SUR0CCKK11 83/83 1.000000
146SUR0CCKK11 83/83 1.000000
148SUR0CCKK11 83/83 1.000000
149SUR0CCKK11 83/83 1.000000
31SUR1CCII11 83/83 1.000000
32SUR0CCII11 83/83 1.000000
33SUR0CCII11 83/83 1.000000
34DCM0CCII11 83/83 1.000000
36DCM0CCII11 83/83 1.000000
36SUR0CCII11 83/83 1.000000
38DCM0CCII11 83/83 1.000000
